         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games  Gd_at_15    Gd/min    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd_at_15  O_Gd/min  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
55  -2.284288  0.901324 -1.440453  0.646050 -1.950175      -0.507935      2.519367 -0.849745 -0.975477  0.049226 -0.847919 -1.129278 -1.080049 -0.711842  0.139782  1.058128  1.203997  0.781846  0.261955         0.517112       -0.539781  0.230785 -0.851929 -0.721520    0.040944  0.426995  0.357547  0.999250  0.936677   0.371468 -0.811844 -1.250623
56   0.717233  0.344200 -1.311622 -0.484933 -0.359292       0.828653     -0.617424 -1.778592 -1.416936 -1.312541 -1.316665 -0.942232  0.077615 -0.054538 -0.005845 -0.112456 -0.154025  0.011407 -0.721002         0.212527       -0.000071  0.091803  1.683445 -0.838302   -0.150109  0.335084 -1.626437 -0.099735 -0.848014   0.772015  0.030152 -0.862958
57  -1.381742  1.211651 -0.712061 -0.323364  0.392650       0.197717      0.369847 -0.230514  0.355116 -0.461437  0.268275 -0.110917  0.749807  0.731174 -1.835563  0.856622 -0.992686  0.777157 -1.744320         1.195902        0.087395  1.101739 -0.851929 -0.254394    0.660419  0.009860 -0.468274 -0.896482 -0.841676  -0.023516  0.967337 -0.082167
58   1.157363 -0.017441  1.624245  2.188358  0.573998       0.073190      1.748690 -1.013659 -0.975477 -0.206105 -1.515016 -1.815113 -0.538561 -0.589222 -0.171659  0.645886  0.053984  2.186726 -1.209117         0.778185       -0.697773 -1.798351 -1.271536 -0.020831   -1.277129 -0.880970  0.035276 -0.440013 -1.422991  -0.819046 -0.149843 -1.643749
59  -0.430448 -0.192153  0.345842  2.702032 -0.342546      -2.433951      0.617977  1.955009  0.802792 -0.376326  2.151677  1.981226  1.954152  1.338483 -1.124727  1.722639 -0.497174 -1.688919 -2.427513        -0.622906        2.563653 -0.853274 -0.851929 -1.188647   -0.793707 -1.071863 -1.636508 -1.207711 -1.669280  -1.214030  1.364538  1.479415
60   0.176820 -0.043098  0.685263 -1.777485  1.683327       0.289037      0.053615  0.079102  1.691927  0.304557 -0.223861  0.249320 -0.351841  0.297006  0.893874 -0.306272 -0.854897  0.207702 -0.429646        -2.641869        0.586714  2.000489  0.838320  0.329513    2.299808  2.102604  1.183368  0.617475  0.590786   1.567546  0.456775  0.698624
61  -1.449990 -0.570900 -1.289324 -0.776530 -0.677877      -0.507935      2.418537 -0.849745 -0.975477 -0.035884 -0.847919 -1.129278 -0.258481 -0.385558  0.794386 -0.092459  0.709810  1.074613 -0.355231        -0.318321       -1.584414  0.304909  0.838320  2.198018   -0.390373 -0.371925  0.287050 -0.233910  0.415124  -0.819046 -0.811844 -1.250623
62  -1.086465 -0.459719 -0.268584  1.191265  0.826824       0.679221     -1.199086 -0.676724  0.802792  0.304557  0.385228  0.824313 -0.678601  0.140706 -0.139938 -2.104449  1.083431 -3.077049  2.609196         0.778185       -1.294010 -1.798351 -1.271536 -0.604739   -1.277129 -0.880970 -0.548842  0.162389  0.457681  -0.819046  0.091593  1.479415
63   0.192141 -0.695520  0.596072 -0.035630  0.074473       0.197717      0.369847 -0.230514  0.355116 -0.972100  0.268275 -0.110917 -0.445201  1.051669 -0.670542 -0.883104  0.365336 -2.229566 -0.234989         0.517112       -0.539781  0.230785 -0.851929  0.796639    0.040944  0.426995 -1.163172 -0.887491 -1.248234   0.371468  1.111852 -0.082167
64   0.073752 -0.915437  0.042346  0.874564  0.193738      -0.217372     -1.470182  0.288548  0.802792  2.091877 -0.456830 -0.443443 -0.809305 -0.434501 -0.664774 -0.735435 -0.918492 -0.192927 -0.827370        -0.013736        1.762355 -1.020052 -0.851929 -1.538991   -1.481691 -1.771801 -1.435088 -0.891641 -1.116035  -1.614577 -0.195707 -0.862958
